source_path	localized_path	source_commit	status	language_review	domain_review	notes
docs/user/administration.md	localization/zh-Hant-TW/src/user/administration.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第一階段
docs/integrations/README.md	localization/zh-Hant-TW/src/integrations/README.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第二階段
docs/integrations/custom.md	localization/zh-Hant-TW/src/integrations/custom.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第二階段
docs/integrations/google-content-safety.md	localization/zh-Hant-TW/src/integrations/google-content-safety.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第二階段，外部服務
docs/integrations/hma.md	localization/zh-Hant-TW/src/integrations/hma.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第二階段，敏感雜湊資料
docs/integrations/ncmec.md	localization/zh-Hant-TW/src/integrations/ncmec.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第二階段，法律與兒少安全審查
docs/integrations/openai-moderation.md	localization/zh-Hant-TW/src/integrations/openai-moderation.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第二階段，外部服務
docs/integrations/zentropi-cope.md	localization/zh-Hant-TW/src/integrations/zentropi-cope.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第二階段，外部模型
docs/api/README.md	localization/zh-Hant-TW/src/api/README.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/api/items.md	localization/zh-Hant-TW/src/api/items.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/api/report.md	localization/zh-Hant-TW/src/api/report.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/api/appeal.md	localization/zh-Hant-TW/src/api/appeal.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/api/policies.md	localization/zh-Hant-TW/src/api/policies.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/api/actions.md	localization/zh-Hant-TW/src/api/actions.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/api/partial-items.md	localization/zh-Hant-TW/src/api/partial-items.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/api/errors.md	localization/zh-Hant-TW/src/api/errors.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/development/README.md	localization/zh-Hant-TW/src/development/README.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/development/local.md	localization/zh-Hant-TW/src/development/local.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/development/architecture.md	localization/zh-Hant-TW/src/development/architecture.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/development/api-auth.md	localization/zh-Hant-TW/src/development/api-auth.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段，安全審查
docs/development/data-warehouse.md	localization/zh-Hant-TW/src/development/data-warehouse.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/development/docker.md	localization/zh-Hant-TW/src/development/docker.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段
docs/development/deployment.md	localization/zh-Hant-TW/src/development/deployment.md	6e4a158af00c27cdefb01f37c95f7e67f7b27c23	not_started	pending	pending	第三階段，部署審查
